ID,PRZESYLKA_ID,DATA_DOSTARCZENIA
1,1,2021-10-27
2,2,2021-10-26
3,3,2021-10-02
4,4,2021-08-30
5,5,2021-03-26
6,6,2021-08-18
7,7,2021-03-23
8,8,2021-04-14
9,9,2021-01-10
10,10,2021-01-09
11,11,2021-07-04
12,12,2021-08-05
13,13,2021-01-26
14,14,2021-07-18
15,15,2021-01-14
16,16,2021-05-07
17,17,2021-05-06
18,18,2021-06-06
19,19,2021-02-04
20,20,2021-03-29
21,21,2021-03-29
22,22,2021-03-28
23,23,2021-05-31
24,24,2021-07-04
25,25,2021-07-05
26,26,2021-07-04
27,27,2021-07-04
28,28,2021-09-04
29,29,2021-02-16
30,30,2021-02-16
31,31,2021-02-16
32,32,2021-02-15
33,33,2021-10-19
34,34,2021-10-19
35,35,2021-06-03
36,36,2021-08-31
37,37,2021-08-18
38,38,2021-05-12
39,39,2021-05-12
40,40,2021-05-12
41,41,2021-09-15
42,42,2021-03-18
43,43,2021-03-19
44,44,2021-08-04
45,45,2021-08-17
46,46,2021-09-28
47,47,2021-09-28
48,48,2021-08-16
49,49,2021-09-11
50,50,2021-09-27
51,51,2021-06-06
52,52,2021-10-02
53,53,2021-03-18
54,54,2021-10-11
55,55,2021-01-24
56,56,2021-02-16
57,57,2021-04-01
58,58,2021-03-31
59,59,2021-04-01
60,60,2021-09-14
61,61,2021-08-02
62,62,2021-03-19
63,63,2021-04-24
64,64,2021-05-11
65,65,2021-05-11
66,66,2021-06-07
67,67,2021-08-24
68,68,2021-08-24
69,69,2021-09-06
70,70,2021-08-08
71,71,2021-06-07
72,72,2021-06-07
73,73,2021-09-24
74,74,2021-09-23
75,75,2021-01-13
76,76,2021-02-24
77,77,2021-02-24
78,78,2021-02-08
79,79,2021-09-02
80,80,2021-09-02
81,81,2021-01-04
82,82,2021-02-03
83,83,2021-02-03
84,84,2021-08-22
85,85,2021-08-22
86,86,2021-01-18
87,87,2021-08-01
88,88,2021-08-01
89,89,2021-08-01
90,90,2021-01-30
91,91,2021-10-26
92,92,2021-02-20
93,93,2021-01-31
94,94,2021-08-25
95,95,2021-10-28
96,96,2021-08-31
97,97,2021-06-08
98,98,2021-04-16
99,99,2021-04-16
100,100,2021-04-16
101,101,2021-03-22
102,102,2021-09-23
103,103,2021-04-06
104,104,2021-04-07
105,105,2021-04-06
106,106,2021-05-13
107,107,2021-05-14
108,108,2021-05-13
109,109,2021-05-13
110,110,2021-02-03
111,111,2021-05-09
112,112,2021-05-09
