id,nadawca_id
1,1
2,1
3,2
4,3
5,4
6,5
7,5
8,6
9,6
10,6
11,7
12,8
13,9
14,10
15,11
16,12
17,12
18,13
19,14
20,15
21,16
22,16
23,16
24,17
25,17
26,17
27,18
28,18
29,18
30,19
31,19
32,19
33,20
34,21
35,21
36,22
37,23
38,23
39,23
40,24
41,25
42,26
43,26
44,27
45,28
46,29
47,30
48,31
49,32
50,33
51,34
52,34
53,35
54,36
55,36
56,36
57,36
58,37
59,38
60,38
61,38
62,39
63,40
64,41
65,41
66,41
67,41
68,42
69,42
70,42
71,43
72,44
73,44
74,45
75,45
76,45
77,45
78,46
79,47
80,47
81,47
82,47
83,48
84,48
85,48
86,49
87,49
88,49
89,50
90,51
91,51
92,51
93,52
94,53
95,54
96,54
97,54
98,55
99,56
100,57
101,57
102,58
103,59
104,60
105,60
106,61
107,61
108,61
109,62
110,62
111,62
112,62
113,63
114,64
115,64
116,65
117,65
118,66
119,66
120,66
121,67
122,67
123,67
124,67
125,68
126,69
127,70
128,71
129,72
130,73
131,74
132,75
133,76
134,77
135,78
136,79
137,80
138,80
139,80
140,80
141,81
142,82
143,83
144,83
145,83
146,83
147,84
148,84
149,85
150,86
151,87
152,88
153,89
154,89
155,89
156,90
157,91
158,91
159,91
160,92
161,93
162,93
163,93
164,94
165,95
166,95
167,95
168,96
169,97
170,97
171,97
172,98
173,98
174,98
175,98
176,99
177,100
178,101
179,102
180,103
181,104
182,105
183,106
184,106
185,106
186,107
187,108
188,108
189,108
190,109
191,110
192,111
193,111
194,111
195,111
196,112
197,112
198,112
199,113
200,114
201,114
202,115
203,116
204,116
205,116
206,117
207,118
208,119
209,119
210,120
211,121
212,121
213,121
214,122
215,122
216,122
217,123
218,124
219,125
220,126
221,127
222,128
223,129
224,130
225,130
226,131
227,131
228,132
229,133
230,134
231,134
232,135
233,136
234,136
235,136
236,137
237,137
238,138
239,138
240,138
241,139
242,140
243,140
244,140
245,141
246,141
247,141
248,141
249,142
250,142
251,143
252,143
253,143
254,143
255,144
256,144
257,145
258,145
259,146
260,147
261,147
262,147
263,148
264,149
265,149
266,149
267,149
268,150
269,151
270,152
271,152
272,152
273,152
274,153
275,154
276,155
277,155
278,155
279,155
280,156
281,156
282,157
283,158
284,158
285,158
286,159
287,159
288,160
289,160
290,160
291,161
292,161
293,161
294,162
295,162
296,163
297,164
298,164
299,164
300,164
301,165
302,166
303,167
304,168
305,169
306,169
307,169
308,169
309,170
310,171
311,171
312,171
313,172
314,172
315,173
316,174
317,174
318,174
319,174
320,175
321,176
322,176
323,176
324,176
325,177
326,177
327,177
328,177
329,178
330,179
331,179
332,179
333,180
334,181
335,181
336,181
337,181
338,182
339,183
340,184
341,184
342,185
343,185
344,186
345,186
346,186
347,186
348,187
349,188
350,188
351,188
352,189
353,190
354,190
355,190
356,190
357,191
358,192
359,193
360,194
361,194
362,194
363,195
364,196
365,197
366,198
367,199
368,200
369,200
370,200
371,200
372,201
373,202
374,202
375,203
376,204
377,205
378,206
379,207
380,207
381,208
382,208
383,209
384,210
385,211
386,212
387,213
388,214
389,214
390,215
391,215
392,215
393,216
394,216
395,216
396,217
397,218
398,219
399,220
400,221
401,221
402,221
403,221
404,222
405,223
406,224
407,224
408,224
409,224
410,225
411,225
412,225
413,226
414,227
415,227
416,228
417,229
418,229
419,229
420,230
421,231
422,232
423,233
424,233
425,233
426,233
427,234
428,235
429,235
430,236
431,237
432,238
433,239
434,239
435,240
436,240
437,240
438,240
439,241
440,241
441,242
442,243
443,244
444,245
445,246
446,246
447,246
448,247
449,247
450,248
451,249
452,249
453,249
454,249
455,250
456,251
457,252
458,252
459,252
460,252
461,253
462,253
463,253
464,254
465,255
466,256
467,257
468,258
469,259
470,260
471,261
472,261
473,261
474,262
475,262
476,263
477,264
478,264
479,264
480,264
481,265
482,265
483,266
484,267
485,267
486,267
487,267
488,268
489,269
490,269
491,269
492,270
493,270
494,270
495,270
496,271
497,271
498,271
499,272
500,273
501,274
502,275
503,276
504,277
505,277
506,277
507,278
508,279
509,280
510,281
511,281
512,282
513,282
514,282
515,283
516,283
517,284
518,284
519,284
520,285
521,285
522,285
523,286
524,287
525,288
526,289
527,289
528,289
529,289
530,290
531,290
532,290
533,291
534,292
535,292
536,292
537,293
538,294
539,295
540,296
541,296
542,296
543,296
544,297
545,297
546,297
547,298
548,299
549,300
550,301
551,302
552,302
553,302
554,302
555,303
556,304
557,305
558,306
559,306
560,307
561,308
562,308
563,309
564,310
565,311
566,311
567,311
568,311
569,312
570,312
571,312
572,312
573,313
574,313
575,313
576,313
577,314
578,315
579,315
580,316
581,317
582,318
583,319
584,320
585,320
586,321
587,322
588,323
589,323
590,323
591,323
592,324
593,325
594,326
595,326
596,327
597,327
598,328
599,328
600,328
601,329
