ID,ZLECENIE_ID,ADRESAT_ID,RODZAJ_PRZESYLKI,WYMIAR_X,WYMIAR_Y,WYMIAR_Z,WAGA,DATA_NADANIA
1,1,2019,list,28,48,11,968,2021-09-09
2,2,4977,paczka,52,84,24,2127,2021-01-15
3,3,871,paczka,6,99,58,39330,2021-03-20
4,4,1486,paleta,89,75,72,63459,2021-10-30
5,5,689,paleta,92,20,38,101843,2021-08-06
6,6,2469,list,35,29,14,852,2021-04-21
7,6,2048,list,39,24,6,57,2021-04-21
8,6,4067,paczka,29,20,76,45059,2021-04-21
9,6,693,list,7,29,9,476,2021-04-21
10,7,432,paleta,45,28,51,194378,2021-08-16
11,8,2411,paczka,69,11,18,30214,2021-06-07
12,9,3928,paleta,37,75,79,28293,2021-02-08
13,9,3119,paleta,28,88,39,70474,2021-02-08
14,9,1013,paleta,37,90,43,171203,2021-02-08
15,9,393,list,21,14,9,829,2021-02-08
16,10,3211,list,48,37,7,167,2021-02-27
17,11,1093,paleta,58,45,43,65047,2021-09-18
18,12,1456,list,15,7,13,795,2021-04-13
19,13,80,paczka,13,68,10,24271,2021-03-24
20,14,670,paleta,66,67,51,164657,2021-07-24
21,14,2920,paleta,36,71,45,134960,2021-07-24
22,15,4239,list,41,38,6,465,2021-02-20
23,16,494,list,47,14,14,351,2021-08-25
24,17,2081,paczka,57,18,59,12138,2021-06-27
25,18,4005,paleta,41,27,35,124887,2021-04-15
26,19,3466,paczka,61,16,98,16910,2021-04-09
27,19,761,list,35,8,19,276,2021-04-09
28,19,2765,paleta,96,88,82,113869,2021-04-09
29,19,171,paczka,81,61,30,48212,2021-04-09
30,20,4510,paczka,73,83,63,7395,2021-10-24
31,20,1914,paczka,28,77,38,2913,2021-10-24
32,20,4558,list,23,13,8,550,2021-10-24
33,20,1123,paczka,25,53,50,2193,2021-10-24
34,21,214,list,11,36,3,802,2021-03-02
35,21,2995,list,10,24,16,742,2021-03-02
36,21,565,paczka,71,93,91,41061,2021-03-02
37,22,3193,list,24,10,13,375,2021-10-01
38,23,4712,paczka,34,71,66,13798,2021-01-04
39,23,2827,paleta,97,83,97,26950,2021-01-04
40,24,3399,list,10,43,4,490,2021-03-07
41,25,3268,paleta,96,51,72,161288,2021-09-20
42,26,485,list,45,47,19,279,2021-01-08
43,26,4563,list,12,19,18,970,2021-01-08
44,26,3179,paczka,81,47,1,47333,2021-01-08
45,27,4885,paczka,76,17,36,35412,2021-02-28
46,28,4644,list,43,47,7,681,2021-06-11
47,28,1842,paczka,54,72,45,7458,2021-06-11
48,28,550,list,33,29,16,275,2021-06-11
49,29,2558,paczka,90,68,26,17914,2021-05-25
50,30,2006,paleta,75,79,33,55318,2021-04-15
51,30,4698,paczka,40,8,23,41544,2021-04-15
52,30,4720,paleta,55,91,82,38090,2021-04-15
53,30,1405,paleta,65,58,25,66825,2021-04-15
54,31,3393,list,43,12,13,634,2021-06-15
55,32,1985,paleta,81,69,89,59199,2021-08-07
56,33,3515,list,18,38,15,165,2021-04-30
57,33,2728,paleta,72,80,68,83872,2021-04-30
58,33,4811,list,7,15,11,384,2021-04-30
59,33,1434,paczka,76,15,56,46005,2021-04-30
60,34,1695,list,29,40,5,297,2021-06-13
61,34,2675,paczka,92,25,90,6691,2021-06-13
62,34,2066,paczka,96,31,98,40721,2021-06-13
63,34,3757,list,44,47,19,609,2021-06-13
64,35,2910,paleta,74,54,82,29112,2021-08-24
65,35,4476,list,32,46,8,338,2021-08-24
66,36,3829,list,8,12,8,745,2021-02-23
67,37,376,paczka,17,42,57,24661,2021-04-16
68,38,2004,paczka,40,35,97,24511,2021-08-14
69,39,289,paczka,10,96,87,1459,2021-09-16
70,39,4701,paleta,90,51,62,73333,2021-09-16
71,40,809,paleta,26,60,81,151317,2021-07-17
72,41,20,paczka,68,75,29,9422,2021-08-22
73,41,510,paczka,34,32,15,37120,2021-08-22
74,41,1938,list,33,17,1,292,2021-08-22
75,41,300,list,46,34,17,196,2021-08-22
76,42,2027,list,47,46,5,640,2021-09-06
77,43,2139,paleta,61,91,36,117344,2021-02-18
78,43,3800,paczka,47,94,56,19103,2021-02-18
79,43,1971,paczka,56,28,52,4972,2021-02-18
80,43,3744,paleta,21,73,50,119745,2021-02-18
81,44,44,paleta,29,75,38,41065,2021-01-27
82,45,669,paleta,86,79,94,94879,2021-10-25
83,45,4459,paleta,81,62,87,170885,2021-10-25
84,45,4312,list,36,46,17,379,2021-10-25
